Field Name,Data Type,Field Size,Required,Unique,Auto Increment,Default Value,Description
CustomerID,AutoNumber,0,Yes,Yes,Yes,,Primary key for customer information
Name,Text,100,Yes,No,No,,Customer's full name
Email,Text,100,Yes,Yes,No,,Customer's email address (unique)
Phone,Text,20,No,No,No,,Customer's phone number
Company,Text,100,No,No,No,,Customer's company name
Address1,Text,100,No,No,No,,Street address line 1
Address2,Text,100,No,No,No,,Street address line 2
City,Text,50,No,No,No,,City
State,Text,50,No,No,No,,State or province
ZipCode,Text,20,No,No,No,,Zip or postal code
Country,Text,50,No,No,No,USA,Country
DateCreated,DateTime,0,Yes,No,No,NOW(),Date when customer record was created
LastUpdated,DateTime,0,Yes,No,No,NOW(),Date when customer record was last updated
Notes,Text,1000,No,No,No,,Additional notes about the customer
